#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21D0F
#Date Time: 2024-01-29 12:48:05.713
#Start: 5 Hz
#Stop: 1000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.58134 V
#Offset: -7.44193e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
31.38053928664485,-12.83459950242481,-165.3260836173674
32.5087748609325,-13.50781123821683,-165.8831125162295
33.67757428593863,-14.18694036791484,-166.3556209786865
34.88839596806575,-14.84860224486698,-166.886599750714
36.14275074831512,-15.50951996359317,-167.2634624685551
37.44220378748629,-16.16692801459349,-167.592645294186
38.78837651915598,-16.81971168627311,-167.8795415099124
40.18294867287293,-17.44539875794965,-168.2954818906674
41.62766037009366,-18.11346434426697,-168.6192623786261
43.12431429547387,-18.73671156832656,-168.9337591749842
44.67477794622515,-19.3756906627946,-169.2247590407909
46.28098596234371,-20.01327845622817,-169.4729377038749
47.94494254061857,-20.6369407939816,-169.6005771913473
49.66872393543112,-21.27116496845462,-169.8695664055363
51.45448104946757,-21.90493451660785,-170.1611319092567
53.30444211757537,-22.51974120016915,-170.2601413413889
55.22091548711369,-23.14103837856112,-170.5107649652561
57.20629249826688,-23.7665252329162,-170.4446633024415
59.26305046791462,-24.40115968621123,-170.9528628451545
61.39375578078226,-25.04184315075521,-171.1444278944101
63.6010670917286,-25.59243270150706,-171.4181954134016
65.88773864316634,-26.24638509200113,-171.3156955707049
68.25662370175503,-26.8979120549673,-171.3752287100146
70.71067811865476,-27.51899634075581,-171.6661094429492
73.25296401778282,-28.1294317904888,-171.7963530402008
75.88665361667536,-28.75610379911692,-172.2135465516816
78.61503318472241,-29.33284383705622,-172.1532961631387
81.44150714371382,-29.95275572150276,-172.6283161430719
84.3696023158145,-30.68054789385659,-172.751076728382
87.40297232426801,-31.22408480594099,-172.2966550903863
90.54540215232028,-31.89131821371857,-173.2289917890992
93.80081286605223,-32.40206137482279,-173.0343848935678
97.17326650701374,-33.15112012667982,-173.9327233613001
100.6669711607641,-33.70370356476749,-174.0645282476877
104.2862862076442,-34.27491019958745,-174.3667471356931
108.0357277623304,-34.96580603187441,-174.432770475615
111.9199743089598,-35.67686758745565,-175.0597283387305
115.9438725388564,-36.26232470363465,-175.7033447747195
120.1124433981431,-36.72996564970242,-175.8853862527341
124.4308883527865,-37.38907209799685,-176.4620823236489
128.9045958788893,-38.15656939884402,-176.9408593972872
133.5391481863327,-38.85974242045926,-178.8815799691697
138.3403281841543,-39.48681038856339,-177.6715701160612
143.3141266963557,-40.11018789848295,179.9575351326512
148.4667499371428,-40.6926964882042,177.6935529671484
153.804627254925,-41.28438832249217,178.3796353168025
159.3344191547382,-42.17704739639795,177.9002262543981
165.0630256091004,-42.96428166701127,173.6719771104421
170.9975946676697,-42.82821878342006,175.7504088264421
177.1455313764501,-43.97546986165957,170.1968233694485
183.5145070176705,-45.08634163070696,169.2477868096106
190.1124686818703,-45.46821939713419,167.181130787536
196.9476491841321,-46.02730706087694,164.6757038137326
204.0285773368369,-46.43292729401524,157.6343140484125
211.3640885917595,-46.93340129820519,158.5300487072275
218.9633360647818,-47.84163347155192,158.3207044870434
226.8358019569829,-48.71105171455642,150.5139718101489
234.9913093863552,-49.39528015451521,143.3888905564176
243.4400346449092,-49.24124627913686,142.8348482428953
252.1925198964644,-50.11064356023521,133.6100447862013
261.2596863309665,-48.17588513826801,128.7866462772037
270.6528477917474,-49.59757309258059,132.189222307326
280.3837248927305,-49.12368201737927,118.2386078587911
290.4644596431972,-50.43018178991324,114.5925994656954
300.907630598362,-49.7839617229406,101.7456054157688
311.7262685546629,-48.44171400320937,104.5282266059017
322.933872809348,-49.66536539157686,104.1085687359254
334.544428004652,-48.70390829519615,90.40154730069194
346.5724215775733,-47.60782182373664,92.47312778388238
359.032861837032,-48.84495858099902,88.17936903102044
371.9412966909621,-48.45741738898731,91.33124802286076
385.3138330467033,-47.47361323543316,83.42799608720753
399.1671569089049,-45.87532743028862,87.22749022944656
413.5185542000139,-46.52927557251515,83.24100785861538
428.3859323293314,-46.63833483416237,78.37726688824591
443.7878425375488,-45.98397201507082,75.02771186619316
459.743503044643,-46.05182521034283,77.98619879497549
476.2728230300181,-45.4339433850979,76.80750570731021
493.396427474814,-44.945215135522,71.84029812995044
511.1356828973756,-44.85185577457102,82.25565511017994
529.5127240140038,-45.04910840494199,71.91142487226341
548.5504813582448,-45.8665595204771,69.12861149536714
568.2727098931886,-42.70810106963442,56.85404039923645
588.7040186524747,-44.36442832269076,60.01668463509928
609.8699014469905,-43.25600251713314,69.1885757066799
631.7967686755804,-43.0300720817414,62.9067282788719
654.5119802794534,-42.32286045330808,63.91079770465041
678.043879881415,-43.9280965462012,59.17055887787963
702.4218301525189,-42.94790241903166,61.42627799345642
727.6762494502645,-41.9056216470069,58.30834657823314
753.8386497740671,-40.58770690513101,65.01440166677878
780.941676085347,-42.22205661936271,56.34316601978013
809.0191470413127,-41.17301525651278,60.63442966749261
838.1060971932604,-40.59222685087327,62.72802105192361
868.2388207020391,-40.56297487290985,58.22911498757834
899.4549166252375,-39.58373163145796,54.49854837267038
931.7933358325971,-39.20397363910153,55.52485084440272
965.2944296081879,-39.73569332520071,51.26512048767465
1000,-39.73267741760081,63.43471327839512
